Internal_count,mID_L,mRA_L,mDEC_L,mXmm_L,mYmm_L,xmm_L,ymm_L,mZ_L,mRMAG_L,mgNUVMAG_L
1,41012779,36.613331,0.551302,-12.512409,-4.338648,-12.393879,-4.297548,0.721391,23.27,25.35
2,41012720,36.624081,0.518820,-12.051072,-5.736210,-11.936418,-5.681635,0.747773,22.78,24.66
3,41012817,36.654690,0.518297,-10.737232,-5.759299,-10.639824,-5.707051,0.745110,23.40,23.79
4,41019373,36.673306,0.671267,-9.937886,0.778293,-9.854999,0.771802,0.652062,24.03,24.46
5,41023097,36.699478,0.730995,-8.814410,3.368613,-8.742250,3.341036,0.698311,22.57,24.03
6,41025372,36.704784,0.756674,-8.586617,4.473642,-8.515720,4.436704,0.700813,21.95,23.04
7,41016539,36.710335,0.600333,-8.348649,-2.230031,-8.282090,-2.212253,0.712796,23.75,25.71
8,41022885,36.727066,0.698124,-7.630361,1.953103,-7.570966,1.937900,0.657676,23.58,24.82
9,41022570,36.744488,0.685356,-6.882619,1.402071,-6.830348,1.391423,0.694636,23.30,24.40
10,41012265,36.750645,0.556192,-6.618526,-4.131844,-6.567122,-4.099753,0.720861,24.04,23.86
11,41012448,36.760304,0.539189,-6.203969,-4.863237,-6.155668,-4.825373,0.671372,23.47,23.68
12,41022545,36.772476,0.718296,-5.681286,2.824339,-5.638908,2.803272,0.657182,23.80,22.87
13,41019260,36.780373,0.647485,-5.342441,-0.139704,-5.303522,-0.138687,0.651952,22.59,24.32
14,41025357,36.797321,0.785018,-4.614853,5.694011,-4.579503,5.650395,0.669709,23.73,24.27
15,41012142,36.821381,0.510690,-3.582421,-6.089412,-3.555182,-6.043112,0.720616,23.77,25.14
16,41015984,36.845139,0.592501,-2.562631,-2.573354,-2.544551,-2.555199,0.670238,22.87,23.84
17,41016307,36.849625,0.584973,-2.370084,-2.897225,-2.353333,-2.876749,0.721309,23.10,23.43
18,41021457,36.858505,0.728579,-1.988855,3.269515,-1.974780,3.246377,0.652760,24.00,24.02
19,41021599,36.870201,0.718389,-1.486866,2.831874,-1.476441,2.812020,0.653177,21.76,25.18
20,41019183,36.881321,0.621991,-1.009614,-1.306805,-1.002649,-1.297790,0.669238,23.50,24.10
21,41025187,36.899521,0.786223,-0.228430,5.747617,-0.226751,5.705359,0.652676,21.94,23.95
22,41025233,36.923252,0.746258,0.790104,4.031053,0.784486,4.002391,0.654632,23.60,25.15
23,41018543,36.931808,0.643882,1.157370,-0.375674,1.149408,-0.373090,0.672007,22.67,23.97
24,41027407,36.941895,0.798963,1.590228,6.295716,1.578321,6.248575,0.656484,23.32,24.03
25,41015909,36.949554,0.612863,1.919062,-1.703638,1.905712,-1.691787,0.726523,23.06,24.32
26,41020623,36.970337,0.720606,2.811018,2.930732,2.791047,2.909911,0.657114,23.60,24.13
27,41024942,36.979237,0.756566,3.192975,4.475238,3.169636,4.442526,0.646469,19.83,20.95
28,41018094,36.983360,0.634215,3.370047,-0.793817,3.346331,-0.788231,0.642141,23.32,24.18
29,41020361,36.987934,0.730371,3.566294,3.350577,3.540560,3.326400,0.725027,23.19,24.93
30,41018350,36.999214,0.672408,4.050487,0.868955,4.021670,0.862773,0.746728,22.40,24.17
31,41014651,37.018761,0.563130,4.889551,-3.840777,4.853195,-3.812219,0.698186,24.03,23.68
32,41018015,37.025837,0.655923,5.193183,0.217933,5.155472,0.216350,0.720978,23.05,24.10
33,41024744,37.031296,0.756175,5.427375,4.459680,5.386155,4.425810,0.717410,22.07,24.09
34,41018004,37.043167,0.669587,5.937001,0.755702,5.893108,0.750115,0.719568,21.64,23.20
35,41020152,37.067055,0.710981,6.962232,2.521663,6.908785,2.502306,0.706690,22.84,24.30
36,41017412,37.072395,0.623102,7.191580,-1.274612,7.136533,-1.264856,0.718917,22.60,23.27
37,41013919,37.084354,0.607462,7.704909,-1.942501,7.644807,-1.927349,0.719629,23.20,23.80
38,41017529,37.099464,0.650216,8.353390,-0.223040,8.287396,-0.221278,0.654451,23.35,23.59
39,41017982,37.105995,0.661862,8.633681,0.453437,8.564840,0.449821,0.681204,21.51,22.77
40,41014007,37.111828,0.581537,8.884170,-3.053757,8.811543,-3.028793,0.728349,22.69,24.10
41,41010788,37.124683,0.528262,9.436060,-5.340005,9.354801,-5.294019,0.719641,23.92,24.51
42,41010674,37.131805,0.508607,9.741796,-6.184039,9.655641,-6.129349,0.724101,22.69,24.90
43,41017079,37.136658,0.633022,9.949825,-0.862981,9.866783,-0.855778,0.729088,20.78,23.53
44,41045506,37.153091,0.702315,10.655047,2.154819,10.563193,2.136243,0.683829,22.19,24.51
45,41045306,37.187721,0.692444,12.141440,1.735826,12.030937,1.720028,0.681656,23.80,24.59
LyC1,41039040,36.618877,0.650032,-12.274093,0.000000,-12.162341,0.000000,1.314490,24.01,-99.00
LyC2,41039024,36.641388,0.637363,-11.307921,-0.604055,-11.208743,-0.598757,1.291390,23.35,-99.00
LyC3,41038742,36.668468,0.623452,-10.145596,-1.225754,-10.060210,-1.215438,1.302740,24.01,-99.00
LyC4,41038527,36.678288,0.619685,-9.724150,-1.390686,-9.643462,-1.379146,1.301690,23.41,-99.00
LyC5,41045923,36.692200,0.685031,-9.126891,1.384153,-9.052694,1.372900,1.299150,23.92,-99.00
LyC6,41051735,36.886871,0.756939,-0.771362,4.489065,-0.765833,4.456887,1.289730,22.93,-99.00
LyC7,41056101,37.116695,0.802739,9.092697,6.460984,9.013465,6.404684,1.329960,23.14,-99.00
LyC8,42057175,37.147308,0.780568,10.406667,5.509609,10.313778,5.460430,1.292210,23.52,-99.00
OVI1,41022625,36.717957,0.733981,-8.021294,3.497651,-7.957118,3.469667,0.973460,23.03,24.60
OVI2,41015238,36.806953,0.647674,-4.201556,-0.147231,-4.171632,-0.146183,1.017330,22.91,24.08
OVI3,41012636,36.830219,0.607183,-3.202983,-1.940905,-3.180345,-1.927187,1.048440,23.15,24.59
OVI4,41018360,36.835812,0.698988,-2.962896,1.995994,-2.942011,1.981925,1.018370,23.71,23.85
OVI5,41012500,36.840668,0.578166,-2.754534,-3.189582,-2.734912,-3.166861,0.970419,23.65,23.83
OVI6,41014825,36.875675,0.641612,-1.251933,-0.459082,-1.243315,-0.455921,1.048260,23.68,24.22
OVI7,41012088,36.911572,0.610166,0.288769,-1.817152,0.286775,-1.804599,0.932621,22.95,23.80
OVI8,41014580,36.918961,0.660290,0.605919,0.341189,0.601759,0.338847,0.934012,22.92,23.57
OVI9,41017936,36.936897,0.718811,1.375768,2.852429,1.366127,2.832439,0.954865,22.95,24.19
OVI10,41023132,37.047249,0.790226,6.112047,5.922314,6.063524,5.875297,1.000960,23.54,24.52
OVI11,41011454,37.089233,0.585889,7.914359,-2.866439,7.851713,-2.843750,0.936995,22.64,23.39
OVI12,41020098,37.094189,0.741866,8.126799,3.847170,8.061261,3.816144,1.021380,23.12,24.95
OVI13,41011336,37.142242,0.579529,10.189641,-3.140824,10.102479,-3.113957,1.052070,22.85,24.84
OVI14,41016305,37.162998,0.676824,11.080317,1.072922,10.983847,1.063581,0.929264,23.85,24.74
OVI15,41007569,37.196377,0.553333,12.513298,-4.265489,12.617378,-1.540776,0.955830,22.31,23.60
QSO1,-99,36.904720,0.800240,-0.007659,6.288950,-0.007602,6.311500,0.660000,0.070000,-99.00
QSO2,-99,37.056450,0.582092,6.448623,-2.993872,6.399571,-2.901632,0.707720,0.070000,-99.00
QSO3,-99,37.171380,0.513640,11.339234,-5.906584,11.233969,-5.782401,0.720000,0.070000,-99.00