MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,BIBLIO,OTYPE_2,RA_2_A_ICRS_J2000_2000_d,DEC_2_D_ICRS_J2000_2000_d,SCRIPT_NUMBER_ID,Z,url,coord_x,coord_y,x_mm,y_mm,nuv_mag,slit_width,slit_length,yline_mm,NUV_ned,FUV_ned,spectra
PG 1538+47,234.89504297366,47.59201774303,14,14,0.022199999541044235,0.025499999523162842,90,A,O,2020yCat.1350....0G,Seyfert1,0.77,15.8100004196167,16.0851993560791,16.05430030822754,2020A&A...644A.159C|2020ApJS..249...17R|2020ApJS..250....8L|2020MNRAS.493L..54K|2019A&A...630A.110G|2019ApJS..242....5X|2018A&A...613A..51P|2018AJ....155..189D|2018ApJS..234...16C|2017A&A...597A..79P|2016ApJ...818..113N|2015MNRAS.452..765G|2015MNRAS.452.4153A|2013AJ....146....5P|2013MNRAS.435.1300G|2012ApJ...751...52E|2011ApJ...736...42R|2010A&A...511A..53V|2010A&A...518A..10V|2010A&A...520A.113B|2010MNRAS.401.2622G|2009AJ....138..991R|2009ApJS..184..138H|2009MNRAS.397..265S|2009MNRAS.400.1493K|2007ApJ...666..757S|2007ApJ...669...74L|2007ApJS..168....1K|2007MNRAS.376.1227K|2006A&A...455..773V|2006ApJS..163..110S|2005A&A...441..915H|2005A&A...443...61O|2005AJ....130..873J|2005ApJ...618..592S|2004ApJS..150...73E|2004MNRAS.347..607B|2003A&A...404..883O|2003A&A...406..535Z|2003A&A...412..707R|2003ApJS..145..199M|2003MNRAS.346.1103P|2002ApJ...571..654D|2002ApJ...571..665S|2002ApJ...581L..77K|2002ApJS..140..143B|2002ApJS..143..257K|2001AJ....121.2843B|2001ApJ...549..133G|2001MNRAS.323..231W|2000AJ....119..460E|2000AJ....119.2540G|2000ApJ...543..552S|2000ApJS..129..563S|1999AJ....118.1435W|1999AcApS..19..121W|1998A&A...332..410H|1998AJ....115.1725B|1998ApJ...493....1W|1998ApJ...506....1W|1998ApJS..118....1J|1997A&A...319..413B|1997AJ....114.2254S|1997ApJ...474...91M|1997PASP..109...39R|1996AJ....111..645F|1996AJ....112...62T|1996ApJ...463..466D|1996ApJ...471..106F|1996ApJS..104...37M|1996MNRAS.282..117G|1995A&A...298..375F|1995A&AS..109..147B|1995ApJ...440..435L|1995ApJS...97....1L|1995ApJS...99....1L|1994A&AS..106..303N|1994AJ....107..461B|1994AJ....107.1245S|1994AJ....108.1163K|1994PASP..106..646K|1993ApJS...87..451H|1992ApJ...400..435K|1992ApJS...80....1S|1991ApJ...382..433S|1990ApJS...72..471D|1990ApJS...74..869B|1989AJ.....98.1195K|1989ApJ...338..630B|1988IUEEN..29...45.|1986ApJ...308..815N|1986ApJS...61..305G|1985ApJ...298..448W|1983ApJ...269..352S,Seyfert1,234.89504297366,47.59201774303,1,0.77,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.8950430d47.5920177d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.77</a>,1.278380136427222,-2.8906013768707464,1.269422084657313,-2.8703459332493004,0,0.075,0.24,2.6847912105347076,16.5294,18.2181,h_1538p477fos_spc.fits
2MASX J15400573+4733518,235.023814,47.564509,7,7,25.0,23.0,90,C,O,2012ApJS..203...21A,Galaxy,0.07074,,18.259000778198242,17.48699951171875,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.023814,47.564509,1,0.07074,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.0238140d47.5645090d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,4.140386118039364,-0.27468945124492783,4.110925653878954,-0.2727349285258061,0,0.075,0.24,-1.258495622142924,21.7551,99.9,None
2MASX J15404007+4735326,235.166728,47.592347,7,7,8.0,8.0,90,C,O,2012ApJS..203...21A,Galaxy,0.06697,,16.209999084472656,15.517999649047852,2017A&A...599A..71D|2014ApJ...788...45T|2003A&A...412...45P,Galaxy,235.166728,47.592347,1,0.06697,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1667280d47.5923470d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,5.158485534097677,3.8722049114140136,5.119903388322962,3.8432433153459002,0,0.075,0.24,2.4217355444765376,18.8853,19.1914,None
SDSS J153944.01+472405.8,234.933392,47.401617,7,7,16.0,16.0,90,C,O,2012ApJS..203...21A,Galaxy,0.06038,,17.108999252319336,16.739999771118164,2017A&A...599A..71D|2017MNRAS.464.3882W|2014ApJ...788...45T,Galaxy,234.933392,47.401617,1,0.06038,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.9333920d47.4016170d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.06</a>,8.844558057714957,-5.991347632854478,8.768845325872288,-5.940059451608741,0,0.075,0.24,-8.123257736826165,18.5259,18.9825,None
SDSS J153920.88+472346.8,234.837018,47.396348,7,7,30.0,29.0,90,C,O,2015ApJS..219...12A,Galaxy,0.06625,,17.915000915527344,17.420000076293945,2017A&A...599A..71D,Galaxy,234.837018,47.396348,1,0.06625,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.8370180d47.3963480d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,7.648335323144367,-8.506365517827774,7.580955825500672,-8.43142703629566,0,0.075,0.24,-9.936154408125665,20.0847,20.4117,None
SDSS J153856.21+474546.4,234.7341808242,47.76289446518,14,14,0.6586999893188477,0.8540999889373779,90,A,O,2020yCat.1350....0G,Galaxy,0.07001,,19.150999069213867,18.924999237060547,2017A&A...599A..71D|2015MNRAS.450..905G,Galaxy,234.7341808242,47.76289446518,1,0.07001,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7341808d47.7628945d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,-7.323918130125355,-3.230217415784383,-7.266685822817562,-3.2049750806672384,0,0.075,0.24,-4.2751112030361265,20.8231,21.2444,None
SDSS J153829.29+472907.6,234.62204241184,47.48544417969,14,14,1.586300015449524,1.4333000183105469,90,C,O,2020yCat.1350....0G,Galaxy,0.0965,,18.39900016784668,17.43199920654297,2009MNRAS.395..255M,Galaxy,234.62204241184,47.48544417969,1,0.0965,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6220424d47.4854442d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.10</a>,1.2610443914561609,-11.950062271128555,1.2496806070929,-11.84237539531617,0,0.075,0.24,-9.85072369900815,99.9,99.9,None
BPS BS 17446-0095,235.12193424797,47.43539422761,14,14,0.008500000461935997,0.009499999694526196,90,A,O,2020yCat.1350....0G,Star,-8.3e-05,13.369999885559082,13.65999984741211,13.229999542236328,2000AJ....120.1516A,Star,235.12193424797,47.43539422761,1,-8.3e-05,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1219342d47.4353942d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             -0.00</a>,10.309441796237927,-0.5699483628877919,10.22234328894336,-0.5651331990192086,0,0.075,0.24,0.0,18.6302,99.9,None
SDSS J153854.46+474815.3,234.726928,47.804271,7,7,48.0,52.0,90,C,O,2015ApJS..219...12A,Galaxy,0.06947,,18.207000732421875,17.709999084472656,2017A&A...599A..71D,Galaxy,234.726928,47.804271,1,0.06947,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7269280d47.8042710d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,-8.950356386230906,-2.524637727566833,-8.87742465438157,-2.5040657867615623,0,0.075,0.24,-3.636616609850932,20.3109,20.6275,None
SDSS J154056.08+472951.7,235.233677,47.497697,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.233,,22.140600204467773,21.973600387573242,2020ApJS..250....8L,QSO,235.233677,47.497697,1,1.233,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.2336770d47.4976970d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.23</a>,9.609161122830924,3.5375551059577326,9.528230782000042,3.507761085774955,0,0.075,0.24,2.0574143003189476,99.9,99.9,None
SDSS J153757.23+473542.7,234.4884552589,47.59520109278,14,14,0.259799987077713,0.2849000096321106,90,A,O,2020yCat.1350....0G,QSO,0.951,,19.587900161743164,19.55470085144043,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P,QSO,234.4884552589,47.59520109278,1,0.951,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.4884553d47.5952011d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.95</a>,-4.707630970687786,-12.907080659086384,-4.662097675834949,-12.782240391656995,0,0.075,0.24,-15.389541305368994,19.9434,99.9,None
LEDA 2297594,235.193192,47.405552,7,7,29.0,28.0,0,C,O,2012ApJS..203...21A,Galaxy,0.06843,,17.459999084472656,17.09600067138672,2017A&A...599A..71D|2014ApJ...788...45T|2003A&A...412...45P,Galaxy,235.193192,47.405552,1,0.06843,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1931920d47.4055520d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,12.432154669428266,0.5773124484460244,12.318179195061733,0.5720197649234208,0,0.075,0.24,-0.6807371484424155,19.1131,19.4821,None
SDSS J154026.32+475058.9,235.109678,47.849714,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.231364,,21.690399169921875,21.2810001373291,2020ApJS..250....8L,QSO,235.109678,47.849714,1,1.231364,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1096780d47.8497140d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.23</a>,-5.15199337996966,7.910047944624017,-5.109810615641765,7.845283170358644,0,0.075,0.24,6.304605067043004,99.9,99.9,None
BPS BS 17446-0077,234.8156871784,47.88673912098,14,14,0.015200000256299973,0.016899999231100082,90,A,O,2020yCat.1350....0G,Star,,14.300000190734863,14.430000305175781,14.100000381469727,1996AJ....112.1188B,Star,234.8156871784,47.88673912098,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.8156872d47.8867391d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,-10.712448610759974,1.4295922741342881,-10.620318591217456,1.41729738536147,0,0.075,0.24,0.0,19.6809,99.9,None
2MASX J15391551+4717170,234.81482342274,47.28818276717,14,14,1.2062000036239624,1.2623000144958496,90,C,O,2020yCat.1350....0G,Galaxy,0.07088,,17.02899932861328,16.18400001525879,2019A&A...622A..60C|2014ApJ...788...45T|2003A&A...412...45P,Galaxy,234.81482342274,47.28818276717,1,0.07088,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.8148234d47.2881828d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,11.309645745626142,-11.368408340286713,11.188735470402854,-11.24686984012579,0,0.075,0.24,-12.216448944667217,20.3282,20.6419,None
SDSS J153851.53+471759.8,234.71472911849,47.29996251323,14,14,3.2990000247955322,2.8129000663757324,90,C,O,2020yCat.1350....0G,Galaxy,0.07108,,18.04599952697754,17.2450008392334,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,234.71472911849,47.29996251323,1,0.07108,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7147291d47.2999625d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,9.42544004643067,-13.6149112477791,9.322279501926811,-13.465897339592981,0,0.075,0.24,-14.41235988831202,99.9,99.9,None
SDSS J153841.21+475310.0,234.671712,47.886115,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.304479,,19.57040023803711,19.21540069580078,2020ApJS..250....8L,QSO,234.671712,47.886115,1,1.304479,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6717120d47.8861150d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.30</a>,-12.75372955211642,-2.1361154928935555,-12.634463551469015,-2.1161396928174048,0,0.075,0.24,0.3802080628572386,20.4344,21.0128,None
SDSS J154126.47+474229.2,235.360293,47.708139,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.27592,,20.676700592041016,20.391700744628906,2020ApJS..250....8L,QSO,235.360293,47.708139,1,1.27592,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.3602930d47.7081390d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.28</a>,3.637244834623248,11.135412574664056,3.604856529538639,11.036255889835449,0,0.075,0.24,11.955725829646015,20.9957,99.9,None
2MASX J15404538+4752036,235.18917236254,47.86765058536,14,14,0.4553000032901764,0.4887000024318695,90,A,O,2020yCat.1350....0G,Galaxy,0.07059,,17.604999542236328,17.229999542236328,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.18917236254,47.86765058536,1,0.07059,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1891724d47.8676506d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.07</a>,-4.683901021422033,10.258472828184,-4.642894108566989,10.16866130155967,0,0.075,0.24,9.165563191075748,99.9,99.9,None
2MASX J15402775+4716436,235.11595,47.278845,7,7,61.0,55.0,0,C,O,2012ApJS..203...21A,Galaxy,0.10962,,18.569000244140625,17.77199935913086,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.11595,47.278845,1,0.10962,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.1159500d47.2788450d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,15.99965086413294,-4.038616479466361,15.824990229708252,-3.9945288101483456,0,0.075,0.24,-0.4864310518908854,99.9,99.9,None
SDSS J154008.48+471418.4,235.035366,47.23845,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.322488,,21.95549964904785,21.466899871826172,2020ApJS..250....8L,QSO,235.035366,47.23845,1,1.322488,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.0353660d47.2384500d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.32</a>,16.328955364190954,-6.9131790885321385,16.14045581426038,-6.833374158105573,0,0.075,0.24,-3.3426641143292,99.9,99.9,None
SDSS J153837.74+475523.6,234.65725323625,47.92323528377,14,14,0.5817999839782715,0.5993000268936157,90,A,O,2020yCat.1350....0G,QSO,1.301,,20.30340003967285,19.948400497436523,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P,QSO,234.65725323625,47.92323528377,1,1.301,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6572532d47.9232353d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.30</a>,-14.326302783037434,-1.6975044903629524,-14.183602102336328,-1.6805960772199056,0,0.075,0.24,0.6236595911481055,21.208,99.9,None
2MASX J15414316+4743505,235.42972871017,47.7304875441,14,14,8.914999961853027,11.023099899291992,90,C,O,2020yCat.1350....0G,Galaxy,0.11257,,17.36400032043457,16.910999298095703,2017A&A...599A..71D|2014ApJ...788...45T,Galaxy,235.42972871017,47.7304875441,1,0.11257,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4297287d47.7304875d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,3.7952369800844488,13.333396912072285,3.7583347365817374,13.203752238459138,0,0.075,0.24,17.05281919509698,19.0876,19.4424,None
BPS BS 17446-0079,234.35683369157,47.45792495574,14,14,0.013199999928474426,0.015300000086426735,90,A,O,2020yCat.1350....0G,Star,,13.8100004196167,13.770000457763672,13.930000305175781,1996ApJS..103..433B,Star,234.35683369157,47.45792495574,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.3568337d47.4579250d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,-1.582648470130743,-19.125215946791123,-1.563109449380193,-18.88910034797325,0,0.075,0.24,0.0,16.0061,17.7317,None
SDSS J153906.23+471226.1,234.775989,47.207271,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.294242,,21.3257999420166,20.67329978942871,2020ApJS..250....8L,QSO,234.775989,47.207271,1,1.294242,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.7759890d47.2072710d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.29</a>,13.724953480014777,-14.066689162321598,13.55183639496958,-13.889261659374945,0,0.075,0.24,-11.958147217226722,99.9,99.9,None
BPS BS 17446-0081,234.68611536517,47.22417023294,14,14,0.012400000356137753,0.013500000350177288,90,A,O,2020yCat.1350....0G,Star,,14.289999961853027,14.319999694824219,14.359999656677246,1996ApJS..103..433B,Star,234.68611536517,47.22417023294,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.6861154d47.2241702d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,11.797721224413081,-15.951201152706657,11.647616336937174,-15.748250666880805,0,0.075,0.24,0.0,16.4493,18.9319,None
LEDA 2298819,235.466666,47.471434,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.10973,,17.45400047302246,16.493000030517578,2018MNRAS.481.2458D|2003A&A...412...45P,Galaxy,235.466666,47.471434,1,0.10973,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4666660d47.4714340d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,13.900774212495723,8.802946837692698,13.749352249821246,8.707055812696098,0,0.075,0.24,12.227867676655851,99.9,99.9,None
SDSS J154138.67+474908.3,235.41112475779,47.81898541051,14,14,0.23589999973773956,0.2418999969959259,90,A,O,2020yCat.1350....0G,QSO,1.047,,19.95400047302246,19.597000122070312,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018ApJS..235...11C|2017A&A...597A..79P,QSO,235.41112475779,47.81898541051,1,1.047,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=235.4111248d47.8189854d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.05</a>,0.25943448978474315,14.73462164790633,0.25681535072245704,14.58586724305423,0,0.075,0.24,17.988410619390198,20.36,99.9,None
LEDA 2293605,234.956873,47.174052,9,9,,,0,C,O,2020ApJS..249....3A,Galaxy,0.10686,,17.273000717163086,16.301000595092773,2018MNRAS.481.2458D|2003A&A...412...45P,Galaxy,234.956873,47.174052,1,0.10686,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=234.9568730d47.1740520d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.11</a>,17.569240030119175,-10.248055533131309,17.340451624330388,-10.114604326144516,0,0.075,0.24,-6.9255150382362025,99.9,99.9,None
